term,definition
Living thing,Grows, eats, moves: person, animal, plant
Non-living thing,Does not grow or eat: rock, chair, water
Plant,Living thing that grows in soil
Animal,Living thing that moves and eats
Sun,The bright star in the sky
Water,We drink it and use it to wash
Air,We breathe it, but we can't see it
Home,Where your family lives
School,Place where you learn
Teacher,Person who helps you learn
Weather,How the sky looks: sunny, rainy, windy
Rain,Water that falls from the sky
Tree,Big plant with trunk and leaves
Flower,Makes seeds and is often colorful
Soil,Dirt where plants grow
Recycle,Use something again like paper or plastic
Pollution,Dirt in air, water, or land
Season,Time of year: rainy, dry, cold
Habitat,Where an animal lives
Community,People living in one area
