term,definition
God,Creator of the world and everything in it
Bible,The holy book of Christians
Jesus,Son of God who taught love and kindness
Prayer,Talking to God
Commandments,Rules given by God to Moses
Faith,Believing in God even when you can't see Him
Love,Kindness and care for others
Forgiveness,Letting go of anger when someone is sorry
Sin,Doing something wrong against God's rules
Salvation,Being saved by Jesus
Baptism,Being washed in water to show belonging to God
Church,Place where Christians worship
Disciple,Followers of Jesus
Miracle,Special act by God: healing, walking on water
Resurrection,Jesus rising from the dead
