term,definition
Kiswahili,Lugha rasmi ya Kenya na mashariki ya Afrika
Nomino,Anaitumika kuita mtu, mahali, au kitu: mwanafunzi, shule, kitabu
Kitenzi,Kinachoelezea kitendo: kula, soma, simama
Kivumishi,Kinachoelezea nomino: kubwa, nyekundu, mrembo
Sentensi,Kundi la maneno linalotukia kama kamilifu
Mwisho,Kitendo kilichomalizwa: mtoto → watoto
Mdogo,Kitu kizuri kinachotumika kuonyesha upendo: watoto → watotowetu
Mwanzo,Kitu kinachowekwa mwanzo: soma → kusoma
Kisawe,Maneno yenye maana sawa: kubwa na mkubwa
Kinyume,Maneno yenye maana mbali: moto na baridi
Kukariri,Maneno yanayosautana sawa mwishoni: paka, shika, ruka
Methali,Maneno yenyo yanaonyesha funzo: Haraka haraka haina baraka
Tashbihi,Kulinganisha kitu kimoja na kingine: Mwanamke ni mafuta
Sifa,Vipengele vinavyoelezea mtu au kitu
Kauli ya moja,Maneno yanayotumiwa moja kwa moja: "Ninakula"
Kauli ya pili,Maneno yanayotajwa: Alikwambia kuwa alikuwa amekula
