term,definition
Direct speech,Exact words: "I will come tomorrow," he said
Indirect speech,Reported speech: He said he would come the next day
Active voice,Subject does the action: "The teacher praised the student"
Passive voice,Object becomes subject: "The student was praised by the teacher"
Conditional sentences,Use "if": "If I study, I will pass"
Modal verbs,Can, could, should, must, might — show ability, obligation, possibility
Relative clauses,Add detail: "The book that I borrowed is interesting"
Adverbial clauses,Show time, place, reason: "Because it rained, we stayed home"
Figurative language,Not literal: metaphor, simile, personification
Simile,Uses "like" or "as": "As brave as a lion"
Metaphor,Direct comparison: "Time is a thief"
Personification,Give human traits to objects: "The sun smiled"
Alliteration,Repeated first sound: "Peter Piper picked a peck"
Onomatopoeia,Word sounds like meaning: buzz, crash, murmur
Irony,Opposite of what’s expected: "Fire station burns down"
